;ID_CLIENT;DEPENDANTS;CHILD_TOTAL;PERSONAL_INCOME;LOAN_NUM_TOTAL;LOAN_NUM_CLOSED;GENDER;SOCSTATUS_WORK_FL;SOCSTATUS_PENS_FL;AGE;AGREEMENT_RK;TARGET
0;106805103;0;1;25000.0;1;0;1;1;0;42;60099204;1
1;106809308;1;1;10000.0;1;0;1;1;0;28;62244665;0
2;106805867;0;2;30000.0;1;1;0;1;1;64;61050759;0
3;106808779;0;0;25000.0;1;0;1;1;0;54;62079659;0
4;106814289;1;1;15000.0;2;2;0;1;0;26;66583553;0
5;106814758;0;2;7800.0;1;1;1;0;1;63;66759647;0
6;106804821;0;0;12000.0;1;0;0;1;0;32;60045224;1
7;106814344;0;1;8000.0;3;3;1;1;0;52;66593813;0
8;106809579;0;2;10000.0;1;0;0;1;0;47;62380912;0
9;106813445;0;0;7000.0;1;1;1;1;0;23;65420244;0
10;106812816;1;2;9000.0;1;0;1;1;0;42;64885090;0
11;106806676;0;0;12000.0;1;0;1;1;0;31;61241205;0
12;106813305;0;0;4900.0;1;1;1;1;0;25;65396723;0
13;106811087;2;2;20000.0;1;0;1;1;0;37;63590644;0
14;106809086;0;3;5500.0;1;0;1;0;1;52;62168155;0
15;106818497;0;2;55000.0;2;2;1;1;0;46;74560681;0
16;106805396;1;1;8500.0;1;0;1;1;0;28;60387399;0
17;106810469;0;0;8000.0;1;0;1;0;1;62;62810257;0
18;106807246;0;1;20000.0;1;0;0;1;0;50;61376906;0
19;106809151;2;2;5000.0;1;0;1;1;0;30;62178934;1
20;106806814;0;0;9000.0;1;0;0;0;1;64;61257026;0
21;106809097;0;0;6500.0;1;0;1;1;0;41;62171073;0
22;106811950;0;0;7000.0;1;1;1;1;0;27;64365052;0
23;106805618;0;0;8000.0;1;1;1;1;0;41;60456097;0
24;106819249;0;0;15000.0;3;2;1;1;0;30;75021737;0
25;106818810;0;2;27000.0;1;0;1;1;1;61;74834078;0
26;106816627;1;0;15000.0;3;1;1;1;0;38;67335615;0
27;106813813;0;0;6000.0;1;0;1;1;0;51;66194407;0
28;106810992;0;2;10500.0;1;0;0;0;1;58;63326150;0
29;106804376;1;1;15000.0;2;2;0;1;0;35;59911832;0
30;106814732;1;2;20000.0;4;4;0;1;0;45;66756441;0
31;106813352;0;0;9000.0;2;2;1;1;0;25;65405795;0
32;106808812;0;2;13000.0;1;0;1;1;1;62;62083785;0
33;106808912;1;1;11000.0;1;0;1;1;0;30;62128075;0
34;106807419;0;3;20000.0;1;1;1;1;1;56;61427836;0
35;106810124;1;1;15000.0;1;0;1;1;0;36;62599729;0
36;106810291;0;2;13000.0;1;0;1;1;0;55;62623117;0
37;106806782;1;1;25000.0;1;0;0;1;0;29;61253219;0
38;106811473;1;2;21000.0;1;0;0;1;0;32;63913234;0
39;106815597;1;1;15000.0;2;2;0;1;0;36;67020373;0
40;106806966;2;2;6500.0;1;0;0;1;0;27;61306799;0
41;106807263;2;3;10000.0;1;0;0;1;0;41;61378742;0
42;106816932;0;2;6500.0;1;0;1;0;1;54;67531672;0
43;106805731;0;1;30000.0;1;1;0;1;0;52;60468475;0
44;106815450;1;1;12000.0;1;0;1;1;0;28;66961178;0
45;106815247;1;1;8000.0;1;0;1;1;0;26;66902951;0
46;106808385;1;1;20000.0;1;0;0;1;0;27;61958864;0
47;106812479;0;0;12000.0;1;0;0;1;0;28;64564180;1
48;106806694;1;1;11000.0;1;0;1;1;0;25;61243509;0
49;106817240;2;2;8000.0;2;1;1;1;0;39;72289471;0
50;106814406;0;0;23000.0;1;0;1;1;0;64;66661261;1
51;106811422;1;1;20000.0;1;0;0;1;0;43;63907628;0
52;106813026;0;0;22000.0;1;0;0;1;0;44;65007484;0
53;106811785;2;2;15000.0;1;0;1;1;0;34;64335140;0
54;106814631;1;1;7000.0;2;2;1;1;0;34;66745524;1
55;106808319;0;1;7500.0;2;2;1;1;0;51;61938660;0
56;106819444;2;2;15000.0;1;0;0;1;0;40;75214244;0
57;106808888;1;1;12000.0;1;0;0;1;0;27;62094470;1
58;106804549;0;0;20000.0;1;1;0;1;0;29;59930422;0
59;106805096;2;2;11000.0;1;0;1;1;0;42;60098380;0
60;106809603;0;1;10000.0;1;0;1;1;0;50;62384561;0
61;106804668;1;1;15000.0;1;1;0;1;0;26;59962548;0
62;106806709;0;0;10000.0;1;0;0;1;0;22;61244949;1
63;106809344;1;2;23000.0;1;0;0;1;1;57;62249206;0
64;106810377;0;0;15000.0;1;0;1;1;0;50;62786543;0
65;106807392;1;1;12500.0;1;0;0;1;0;35;61423700;0
66;106814845;0;1;20000.0;2;2;1;1;1;55;66771811;0
67;106814457;1;0;12000.0;3;3;0;1;0;34;66670943;0
68;106809251;1;1;6000.0;1;0;0;1;0;28;62236055;0
69;106810072;0;3;17500.0;1;0;0;1;0;59;62593286;0
70;106814933;0;1;18000.0;3;3;1;1;0;47;66782719;0
71;106814139;2;2;9000.0;2;2;1;1;0;41;66432857;0
72;106814227;0;0;7000.0;2;2;1;1;0;36;66530733;1
73;106807660;0;0;18000.0;1;0;0;1;0;55;61467586;0
74;106808013;0;1;25000.0;1;0;0;1;0;52;61845475;0
75;106819134;0;2;30000.0;1;0;0;1;0;46;74995307;1
